Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 VM),2021-Nov-27 03:24 ±   �00:15,9.33 | 0.02397,9.26 | 0.02380,8.94,8.93,25.4,22 m -   50 m,bK21V00M
(2021 VO12),2021-Nov-28 15:40 ±   �00:15,7.29 | 0.01873,7.28 | 0.01871,13.48,13.47,24.2,39 m -   87 m,bK21V12O
(1994 WR12),2021-Nov-29 06:03 ±   �00:15,16.00 | 0.04112,16.00 | 0.04112,8.82,8.82,22.3,92 m -  210 m,bJ94W12R
(2021 WR),2021-Dec-01 16:40 ±   �00:15,6.74 | 0.01732,6.74 | 0.01731,8.76,8.74,25.4,22 m -   49 m,bK21W00R
(2021 UP4),2021-Dec-04 19:43 ±   �00:15,13.86 | 0.03562,13.71 | 0.03524,8.32,8.31,24.1,39 m -   88 m,bK21U04P
(2021 VX7),2021-Dec-06 02:24 ±   �00:15,14.76 | 0.03793,14.65 | 0.03764,6.14,6.13,24.7,31 m -   69 m,bK21V07X
4660 Nereus (1982 DB),2021-Dec-11 13:51 ±   �00:15,10.23 | 0.02630,10.23 | 0.02630,6.58,6.56,18.4,330 m - 330 m,a0004660
(2021 VW27),2021-Dec-13 12:15 ±   �00:15,18.64 | 0.04788,18.62 | 0.04785,8.36,8.35,24.6,31 m -   70 m,bK21V27W
(2019 XQ1),2021-Dec-13 13:51 ±   �00:15,14.06 | 0.03612,13.32 | 0.03422,9.13,9.13,25.4,22 m -   49 m,bK19X01Q
(2021 VT6),2021-Dec-14 10:19 ±   �00:15,7.70 | 0.01978,7.60 | 0.01953,6.94,6.92,24,41 m -   93 m,bK21V06T
(2004 YC),2021-Dec-15 20:01 ± 3_01:05,18.37 | 0.04721,3.88 | 0.00998,8.12,8.12,25.6,20 m -   45 m,bK04Y00C
163899 (2003 SD220),2021-Dec-17 17:26 ± < 00:01,14.12 | 0.03628,14.12 | 0.03628,5.61,5.6,17.6,791 m - 791 m,a0163899
(2016 YY10),2021-Dec-21 07:31 ± 4_11:39,11.21 | 0.02881,7.84 | 0.02015,9.24,9.23,25.9,18 m -   39 m,bK16Y10Y
(2017 XQ60),2021-Dec-21 08:58 ± < 00:01,13.69 | 0.03517,13.69 | 0.03517,15.74,15.74,24.4,35 m -   78 m,bK17X60Q
(2016 TR54),2021-Dec-24 06:30 ± < 00:01,16.83 | 0.04325,16.83 | 0.04325,15.53,15.53,22.1,100 m -  230 m,bK16T54R
(2018 AH),2021-Dec-27 16:27 ± 3_14:40,11.83 | 0.03040,2.61 | 0.00670,12.7,12.7,22.5,84 m -  190 m,bK18A00H
(2017 AE3),2021-Dec-29 01:54 ± 6_06:03,9.22 | 0.02370,8.36 | 0.02149,19.08,19.08,21.8,120 m -  260 m,bK17A03E
(2014 YE15),2022-Jan-06 03:54 ±   �00:15,19.26 | 0.04949,19.21 | 0.04937,6.38,6.37,28.3,5.8 m -   13 m,bK14Y15E
(2020 AP1),2022-Jan-07 17:32 ± 8_20:07,4.54 | 0.01166,0.003 | 6.93e-6,5.65,5.61,29.6,3.2 m -  7.1 m,bK20A01P
(2013 YD48),2022-Jan-11 23:39 ±   �00:15,14.55 | 0.03740,14.49 | 0.03724,14.77,14.77,22.6,80 m -  180 m,bK13Y48D
(2021 BA),2022-Jan-18 07:54 ±   �00:15,9.78 | 0.02512,9.26 | 0.02379,9.1,9.08,26,17 m -   37 m,bK21B00A
7482 (1994 PC1),2022-Jan-18 21:51 ± < 00:01,5.15 | 0.01325,5.15 | 0.01324,19.56,19.55,16.6,1052 m - 1052 m,a0007482
(2018 PN22),2022-Jan-21 23:57 ±   �00:15,11.33 | 0.02913,11.31 | 0.02907,2.74,2.71,27.5,8.4 m -   19 m,bK18P22N
(2017 XC62),2022-Jan-24 16:07 ± < 00:01,18.63 | 0.04788,18.63 | 0.04788,4.31,4.3,22.5,84 m -  190 m,bK17X62C
(2021 BZ),2022-Jan-27 09:08 ±   �00:15,17.55 | 0.04510,17.44 | 0.04481,14.6,14.59,24.8,29 m -   65 m,bK21B00Z
(2018 CA1),2022-Feb-05 04:42 ±   �00:15,9.78 | 0.02512,6.34 | 0.01629,15.13,15.12,25.2,24 m -   54 m,bK18C01A
(2007 UY1),2022-Feb-08 06:20 ± < 00:01,13.88 | 0.03565,13.87 | 0.03565,6.58,6.57,23,67 m -  150 m,bK07U01Y
(2020 DF),2022-Feb-14 22:12 ±   �00:15,11.96 | 0.03072,3.91 | 0.01004,8.62,8.61,26.2,15 m -   34 m,bK20D00F
(2018 CW2),2022-Feb-18 09:20 ±   �00:15,2.23 | 0.00573,2.23 | 0.00573,10.76,10.72,25.8,18 m -   41 m,bK18C02W
(2020 CX1),2022-Feb-18 11:10 ± < 00:01,7.17 | 0.01842,7.17 | 0.01842,8.17,8.15,24.1,40 m -   90 m,bK20C01X
455176 (1999 VF22),2022-Feb-22 07:54 ±   �00:15,13.96 | 0.03587,13.96 | 0.03587,25.1,25.1,20.7,190 m -  430 m,a0455176
(2017 CX1),2022-Feb-23 16:24 ±   �00:15,15.10 | 0.03880,6.71 | 0.01724,5.04,5.02,28.2,6.1 m -   14 m,bK17C01X
(2020 UO4),2022-Feb-28 20:25 ±   �00:15,18.41 | 0.04731,18.40 | 0.04728,2.07,2.04,28.6,5.0 m -   11 m,bK20U04O
138971 (2001 CB21),2022-Mar-04 07:59 ± < 00:01,12.78 | 0.03283,12.78 | 0.03283,12.02,12.01,18.4,560 m - 1300 m,a0138971
(2021 UL7),2022-Mar-04 16:15 ±   �00:15,11.44 | 0.02939,11.40 | 0.02928,1.98,1.93,25.9,18 m -   39 m,bK21U07L
(2020 DC),2022-Mar-06 09:17 ± 6_10:51,3.87 | 0.00994,3.12 | 0.00802,4.94,4.89,26.7,12 m -   27 m,bK20D00C
(2021 EY1),2022-Mar-10 15:32 ±   �00:15,10.11 | 0.02598,7.03 | 0.01807,15.49,15.48,26.7,12 m -   27 m,bK21E01Y
(2015 DR215),2022-Mar-11 06:41 ±   �00:15,17.43 | 0.04479,17.43 | 0.04479,8.31,8.31,20.4,220 m -  490 m,bK15DL5R
(2018 GY),2022-Mar-13 08:33 ± < 00:01,11.86 | 0.03048,11.86 | 0.03048,10.68,10.67,24.6,32 m -   71 m,bK18G00Y
(2016 FZ12),2022-Mar-19 11:39 ± 3_23:52,2.15 | 0.00552,2.08 | 0.00535,8.31,8.25,26.7,12 m -   27 m,bK16F12Z
(2020 SQ),2022-Mar-21 16:18 ±   �00:15,2.78 | 0.00714,2.24 | 0.00576,6.02,5.95,27.3,9.1 m -   20 m,bK20S00Q
(2013 BO76),2022-Mar-24 22:56 ±   �00:15,13.30 | 0.03417,13.27 | 0.03410,13.75,13.75,20.4,220 m -  490 m,bK13B76O
(2011 GE3),2022-Mar-26 01:55 ± 3_10:51,7.60 | 0.01954,5.81 | 0.01494,7.04,7.02,26,17 m -   38 m,bK11G03E
(2012 FX35),2022-Mar-26 02:01 ± 1_01:32,13.60 | 0.03496,6.68 | 0.01716,5.87,5.85,25.8,18 m -   41 m,bK12F35X
(2010 GD35),2022-Mar-29 17:14 ± < 00:01,17.61 | 0.04525,17.61 | 0.04525,12.51,12.51,24.6,32 m -   71 m,bK10G35D
(2020 FW5),2022-Mar-30 07:15 ± 7_04:07,8.91 | 0.02290,8.16 | 0.02096,13.14,13.13,25.6,20 m -   45 m,bK20F05W
(2007 FF1),2022-Apr-01 21:35 ±    00:02,19.31 | 0.04962,19.31 | 0.04961,12.83,12.83,21.8,120 m -  260 m,bK07F01F
(2021 GN1),2022-Apr-02 15:23 ±   �00:15,14.34 | 0.03686,12.79 | 0.03287,14.28,14.28,26.4,14 m -   31 m,bK21G01N
(2016 GW221),2022-Apr-02 17:45 ±   �00:15,9.72 | 0.02498,9.72 | 0.02498,5.93,5.91,24.7,31 m -   68 m,bK16GM1W
(2012 TV),2022-Apr-05 03:53 ± 4_07:57,19.14 | 0.04919,0.70 | 0.00181,18.13,18.12,25.2,24 m -   54 m,bK12T00V
(2020 GH1),2022-Apr-09 19:22 ± 8_14:06,16.73 | 0.04300,5.02 | 0.01290,7.23,7.22,25.5,21 m -   47 m,bK20G01H
(2017 TO2),2022-Apr-10 23:30 ± 7_04:15,17.82 | 0.04580,9.47 | 0.02433,11.62,11.62,23.3,58 m -  130 m,bK17T02O
363599 (2004 FG11),2022-Apr-12 05:51 ± < 00:01,19.23 | 0.04942,19.23 | 0.04942,24.5,24.5,21,152 m - 152 m,a0363599
(2020 TQ6),2022-Apr-18 05:30 ±   �00:15,13.31 | 0.03420,10.10 | 0.02595,15.38,15.38,24.6,32 m -   71 m,bK20T06Q
(2017 UR2),2022-Apr-22 11:57 ± 1_04:50,19.38 | 0.04979,12.24 | 0.03146,9.32,9.31,27.7,7.7 m -   17 m,bK17U02R
