Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2020 XZ),2020-Nov-27 17:42 ± < 00:01,11.40 | 0.02928,11.34 | 0.02913,7.54,7.53,26.1,16 m -   36 m,bK20X00Z
(2020 WX2),2020-Nov-27 19:11 ± < 00:01,4.02 | 0.01033,3.99 | 0.01026,12.8,12.78,26.9,11 m -   25 m,bK20W02X
(2020 KZ2),2020-Nov-28 04:43 ±    00:32,5.67 | 0.01458,5.58 | 0.01433,3.91,3.86,27.7,7.7 m -   17 m,bK20K02Z
(2020 VF6),2020-Nov-28 05:58 ± < 00:01,8.42 | 0.02163,8.37 | 0.02150,17.97,17.96,25,27 m -   59 m,bK20V06F
(2020 WS4),2020-Nov-28 07:59 ± < 00:01,5.80 | 0.01490,5.75 | 0.01478,13.06,13.04,26.6,13 m -   28 m,bK20W04S
(2020 WC4),2020-Nov-28 09:12 ± < 00:01,1.83 | 0.00471,1.83 | 0.00470,5.14,5.03,28.9,4.4 m -  9.9 m,bK20W04C
153201 (2000 WO107),2020-Nov-29 05:08 ± < 00:01,11.19 | 0.02876,11.19 | 0.02876,25.07,25.07,19.3,510 m - 510 m,a0153201
(2020 WX3),2020-Nov-29 05:25 ± < 00:01,6.20 | 0.01594,6.17 | 0.01584,8.46,8.44,26.9,11 m -   25 m,bK20W03X
(2020 WC2),2020-Nov-29 14:14 ± < 00:01,14.25 | 0.03662,14.11 | 0.03625,22.45,22.44,25,27 m -   59 m,bK20W02C
(2020 VT5),2020-Nov-30 03:22 ± < 00:01,17.67 | 0.04540,17.57 | 0.04515,16.3,16.29,24.6,32 m -   71 m,bK20V05T
(2020 XB),2020-Nov-30 04:38 ± < 00:01,2.93 | 0.00752,2.92 | 0.00750,11.65,11.62,25.2,24 m -   54 m,bK20X00B
(2020 WY3),2020-Nov-30 06:51 ± < 00:01,5.94 | 0.01526,5.90 | 0.01515,7.47,7.44,27.8,7.3 m -   16 m,bK20W03Y
(2020 XC),2020-Nov-30 10:16 ±    00:01,0.32 | 0.00081,0.31 | 0.00081,4.33,3.49,29,4.1 m -  9.2 m,bK20X00C
(2020 XE),2020-Dec-01 12:23 ±    00:01,0.77 | 0.00199,0.77 | 0.00198,23.67,23.61,26.2,15 m -   34 m,bK20X00E
(2020 XG),2020-Dec-01 16:11 ± < 00:01,1.31 | 0.00337,1.31 | 0.00336,11.09,11.02,28.1,6.3 m -   14 m,bK20X00G
