pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
HD 114762 b,2,1,Radial Velocity,1989,83.9151,12.44,1.08,3397.6027,,1.2,0.8,4.18,40.1949,
PSR B1257+12 c,1,3,Pulsar Timing,1992,66.5419,1.91,1.09,4.3,,,1.4,,600,
PSR B1257+12 d,1,3,Pulsar Timing,1992,98.2114,1.8,1.15,3.9,,,1.4,,600,
PSR B1257+12 b,1,3,Pulsar Timing,1994,25.262,0.338,1.15,0.02,,,1.4,,600,
51 Peg b,1,1,Radial Velocity,1995,4.230785,14.3,1.2,146.2018,,1.18,1.03,4.31,15.4614,
16 Cyg B b,3,1,Radial Velocity,1996,798.5,13.5,1.15,565.7374,,1.13,1.08,4.36,21.1397,329.49
47 UMa b,1,3,Radial Velocity,1996,1078,13.2,1.11,804.08,,1.21,1.06,4.3,13.7967,
55 Cnc b,2,5,Radial Velocity,1996,14.6516,13.9,1.664,263.9785,1700,0.94,0.91,4.43,12.5855,
70 Vir b,1,1,Radial Velocity,1996,116.688,12.6,1.24,2380.45,,1.89,1.09,3.95,17.9011,
tau Boo b,2,1,Radial Velocity,1996,3.3124568,12.8,1.19,1891,,1.43,1.32,4.25,15.6521,
ups And b,2,3,Radial Velocity,1996,4.617033,14,1.24,218.531,,1.56,1.3,4.13,13.4054,
rho CrB b,1,2,Radial Velocity,1997,39.8458,13.8,1.1,332.1,,1.36,0.89,4.12,17.4671,
GJ 876 b,1,4,Radial Velocity,1998,61.1166,13.3,1,723.2235,1600,0.3,0.32,4.87,4.67517,
HD 168443 b,1,2,Radial Velocity,1998,58.11247,12.6,1.44,2434.157,,1.51,0.99,4.07,39.6245,
HD 187123 b,1,2,Radial Velocity,1998,3.0965828,14.2,1.13,166.218,,1.15,1.04,4.33,45.9548,
HD 195019 b,2,1,Radial Velocity,1998,18.20132,13,1.15,1264.9634,1250,1.48,1.21,4.18,37.6681,
HD 210277 b,1,1,Radial Velocity,1998,442.19,13.6,1.2,410.0007,,1.07,1.01,4.38,21.2985,
HD 217107 b,1,2,Radial Velocity,1998,7.12682,13.6,0.92,413.179,2075,1.11,1,4.34,20.0619,
GJ 86 b,2,1,Radial Velocity,1999,15.76491,12.9,1.1,1404.8086,,0.77,0.93,4.63,10.7836,
HD 10697 b,1,1,Radial Velocity,1999,1075.69,12.7,1.1,2028.70889,,1.79,1.13,3.96,33.1205,
HD 130322 b,1,1,Radial Velocity,1999,10.70871,13.7,1.13,365.49,,0.85,0.92,4.52,31.8766,
HD 134987 b,1,2,Radial Velocity,1999,258.17999,13.5,1.16,511.7063,,1.22,1.1,4.31,26.1804,
HD 177830 b,2,2,Radial Velocity,1999,410.10001,13.5,1.18,537.1327,,3.26,1.7,3.64,62.7674,
HD 192263 b,1,1,Radial Velocity,1999,24.3556,14.2,1.27,177.9848,,0.74,0.66,4.51,19.6359,
HD 209458 b,1,1,Radial Velocity,1999,3.52474859,15.581,1.2,232.0159,,1.19,1.23,4.45,48.3016,
HD 222582 b,2,1,Radial Velocity,1999,572.38,12.6,1.19,2660.2371,700,1.13,1.12,4.38,42.1586,
HD 75289 b,2,1,Radial Velocity,1999,3.50927,14.2,1.27,155.7367,,1.23,1.29,4.37,29.1158,30
HD 89744 b,2,1,Radial Velocity,1999,256.78,12.6,1.24,2653.8805,700,2.13,1.86,4.07,38.6364,38.8
HR 810 b,1,1,Radial Velocity,1999,302.79999,13.3,0.76,721.4741,,1.13,1.34,4.46,17.3181,38.8
ups And c,2,3,Radial Velocity,1999,241.258,12.3,1.16,4443.24113,,1.56,1.3,4.13,13.4054,38.8
