pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
11 Com b,2,1,Radial Velocity,2007,326.03,12.1,6165.6,0.231,,4742,2.7,2.31,93.1846
11 UMi b,1,1,Radial Velocity,2009,516.21997,12.3,4684.8142,0.08,,4213,2.78,1.93,125.321
14 And b,1,1,Radial Velocity,2008,185.84,12.9,1525.5,0,,4813,2.2,2.63,75.4392
14 Her b,1,2,Radial Velocity,2002,1773.40002,12.9,1481.0878,0.37,,5338,0.9,4.45,17.9323
16 Cyg B b,3,1,Radial Velocity,1996,798.5,13.5,565.7374,0.68,,5750,1.08,4.36,21.1397
17 Sco b,1,1,Radial Velocity,2020,578.38,12.9,1373.01872,0.06,,4157,1.22,1.7,124.953
18 Del b,2,1,Radial Velocity,2008,993.3,12.5,3273.5,0.08,,4979,2.3,2.82,76.222
1RXS J160929.1-210524 b,1,1,Imaging,2008,,18.647,3000,,1700,4060,0.85,4,139.135
24 Boo b,1,1,Radial Velocity,2018,30.3506,13.9,289.2253,0.042,,4893,0.99,2.42,95.9863
24 Sex b,1,2,Radial Velocity,2010,452.8,13.4,632.46,0.09,,5098,1.54,3.5,72.0691
24 Sex c,1,2,Radial Velocity,2010,883,13.9,273.32,0.29,,5098,1.54,3.5,72.0691
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,,12.3,4131.79,,,,0.19,,47.2
2MASS J01225093-2439505 b,1,1,Imaging,2013,,11.209,7786.5,,1600,3530,0.4,4.86,33.8281
2MASS J02192210-3925225 b,1,1,Imaging,2015,,16.141,4417.837,,,3064,0.11,4.59,40.0896412
2MASS J04414489+2301513 b,1,1,Imaging,2010,,12.6,2383.6,,,2936,0.02,5.01,120.423987
2MASS J12073346-3932539 b,1,1,Imaging,2004,,12.9,1589.15,,1250,2825,0.02,5.03,64.308
2MASS J19383260+4603591 b,2,1,Eclipse Timing Variations,2015,416,13.4,603.877,,,10868,0.48,3.91,396.332
2MASS J21402931+1625183 A b,1,1,Imaging,2009,7336.5,10.31,6657.48,0.26,2075,2300,0.08,5.22,33.1156898
2MASS J22362452+4751425 b,1,1,Imaging,2016,,12.3,3972.875,,,4045,0.6,4.62,69.5737
30 Ari B b,4,1,Radial Velocity,2009,335.10001,12.3,4392.4106,0.29,,6331,1.93,4.43,44.657
4 UMa b,1,1,Radial Velocity,2006,269.3,12.7,2256.5,0.432,,4415,1.23,1.8,73.4603
42 Dra b,2,1,Radial Velocity,2008,479.1,13,1233.13,0.38,,4200,0.98,1.71,90.6545
47 UMa b,1,3,Radial Velocity,1996,1078,13.2,804.08,0.032,,5872,1.06,4.3,13.7967
47 UMa c,1,3,Radial Velocity,2001,2391,14.2,171.621,0.098,,5872,1.06,4.3,13.7967
47 UMa d,1,3,Radial Velocity,2009,14002,13.5,521.22,0.16,,5872,1.06,4.3,13.7967
51 Eri b,3,1,Imaging,2015,11688,13.4,635.66,0.45,700,7295,1.75,4.31,29.7575
51 Peg b,1,1,Radial Velocity,1995,4.230785,14.3,146.2018,0.013,,5758,1.03,4.31,15.4614
55 Cnc b,2,5,Radial Velocity,1996,14.6516,13.9,263.9785,0,700,5172,0.91,4.43,12.5855
55 Cnc c,2,5,Radial Velocity,2004,44.3989,8.51,54.4738,0.03,,5172,0.91,4.43,12.5855
55 Cnc d,2,5,Radial Velocity,2002,5574.2,13,1232.493,0.13,,5172,0.91,4.43,12.5855
55 Cnc e,2,5,Radial Velocity,2004,0.7365474,1.875,7.99,0.05,1958,5172,0.91,4.43,12.5855
55 Cnc f,2,5,Radial Velocity,2007,259.88,7.59,44.812,0.08,,5172,0.91,4.43,12.5855
6 Lyn b,1,1,Radial Velocity,2008,934.3,13.4,638.8383,0.073,,4938,1.44,3.19,54.6599
61 Vir b,1,3,Radial Velocity,2009,4.215,2.11,5.1,0.12,,5577,0.94,4.34,8.50332
61 Vir c,1,3,Radial Velocity,2009,38.021,4.46,18.2,0.14,,5577,0.94,4.34,8.50332
61 Vir d,1,3,Radial Velocity,2009,123.01,5.11,22.9,0.35,,5577,0.94,4.34,8.50332
7 CMa b,1,2,Radial Velocity,2011,735.1,13.4,587.9855,0.06,,4826,1.34,3.19,19.8101
7 CMa c,1,2,Radial Velocity,2019,996,13.9,276.5121,0.08,,4826,1.34,3.19,19.8101
70 Vir b,1,1,Radial Velocity,1996,116.688,12.6,2380.45,0.3988,,5495,1.09,3.95,17.9011
75 Cet b,2,1,Radial Velocity,2012,691.9,13.1,953.49,0.117,,4846,2.49,2.63,82.9613
8 UMi b,1,1,Radial Velocity,2015,93.4,13.6,416.3573,0.06,,4847,1.44,2.57,162.552
81 Cet b,1,1,Radial Velocity,2008,952.7,12.8,1684.4,0.206,,4785,2.4,2.35,101.26
91 Aqr b,3,1,Radial Velocity,2013,181.4,13.1,1017,0.027,,4665,1.4,2.52,44.0304
AB Pic b,1,1,Imaging,2005,,12.3,4290.5,,,5285,0.9,4.53,50.0475
AU Mic b,1,2,Transit,2020,8.463,4.07,17,0,593,3700,0.5,4.57,9.7221
