pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,0.32,-0.32,0,12.1,,,0,6165.6,476.7,-476.7,0,,,,,,,,,0,4742,100,-100,0,19,2,-2,0,2.7,0.3,-0.3,0,2.31,0.1,-0.1,0
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,3.2,-3.2,0,12.3,,,0,4684.8142,794.575,-794.575,0,,,,,,,,,0,4213,46,-46,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,1.93,0.07,-0.07,0
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.23,-0.23,0,12.9,,,0,1525.5,,,0,,,,,,,,,0,4813,20,-20,0,11,1,-1,0,2.2,0.1,-0.2,0,2.63,0.07,-0.07,0
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.5,-2.5,0,12.9,,,0,1481.0878,47.6745,-47.6745,0,,,,,,,,,0,5338,25,-25,0,0.93,0.01,-0.01,0,0.9,0.04,-0.04,0,4.45,0.02,-0.02,0
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1,-1,0,13.5,,,0,565.7374,25.4264,-25.4264,0,,,,,,,,,0,5750,8,-8,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,4.36,0.01,-0.01,0
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,3.2,-3.2,0,12.5,,,0,3273.5,,,0,,,,,,,,,0,4979,18,-18,0,8.5,,,0,2.3,,,0,2.82,0.06,-0.06,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,18.647,,,0,3000,300,-300,0,,,,,1700,100,-100,0,0,4060,300,-200,0,1.31,0.18,-0.1,0,0.85,0.2,-0.1,0,4,0.14,-0.1,0
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.0078,-0.0077,0,13.9,,,0,289.2253,41.3179,-31.783,0,,,,,,,,,0,4893,15,-15,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,2.42,0.1,-0.1,0
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,2.1,-4.5,0,13.4,,,0,632.46,82.63,-120.77,0,,,,,,,,,0,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,3.5,0.1,-0.1,0
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,32.4,-13.8,0,13.9,,,0,273.32,111.24,-69.92,0,,,,,,,,,0,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,3.5,0.1,-0.1,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,,,,12.3,,,0,4131.79,317.83,-317.83,0,,,,,,,,,0,,,,,,,,,0.19,0.02,-0.02,0,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,,,11.209,,,0,7786.5,794.5,-794.5,0,,,,,1600,100,-100,0,0,3530,50,-50,0,0.37,0.01,-0.01,0,0.4,0.05,-0.05,0,4.86,0,0,0
